atc_code,description_en,description_tr,description_tr_source
A,ALIMENTARY TRACT AND METABOLISM,,
B,BLOOD AND BLOOD FORMING ORGANS,,
C,CARDIOVASCULAR SYSTEM,,
D,DERMATOLOGICALS,,
G,GENITO URINARY SYSTEM AND SEX HORMONES,,
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",,
J,ANTIINFECTIVES FOR SYSTEMIC USE,,
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,,
M,MUSCULO-SKELETAL SYSTEM,,
N,NERVOUS SYSTEM,,
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",,
R,RESPIRATORY SYSTEM,,
S,SENSORY ORGANS,,
V,VARIOUS,,
A01,STOMATOLOGICAL PREPARATIONS,,
A02,DRUGS FOR ACID RELATED DISORDERS,,
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,
A04,ANTIEMETICS AND ANTINAUSEANTS,,
A05,BILE AND LIVER THERAPY,,
A06,DRUGS FOR CONSTIPATION,,
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",,
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",,
A09,"DIGESTIVES, INCL. ENZYMES",,
A10,DRUGS USED IN DIABETES,,
A11,VITAMINS,,
A12,MINERAL SUPPLEMENTS,,
A13,TONICS,,
A14,ANABOLIC AGENTS FOR SYSTEMIC USE,,
A15,APPETITE STIMULANTS,,
A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,,
B01,ANTITHROMBOTIC AGENTS,,
B02,ANTIHEMORRHAGICS,,
B03,ANTIANEMIC PREPARATIONS,,
B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,,
B06,OTHER HEMATOLOGICAL AGENTS,,
C01,CARDIAC THERAPY,,
C02,ANTIHYPERTENSIVES,,
C03,DIURETICS,,
C04,PERIPHERAL VASODILATORS,,
C05,VASOPROTECTIVES,,
C07,BETA BLOCKING AGENTS,,
C08,CALCIUM CHANNEL BLOCKERS,,
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,,
C10,LIPID MODIFYING AGENTS,,
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,,
D02,EMOLLIENTS AND PROTECTIVES,,
D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,,
D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",,
D05,ANTIPSORIATICS,,
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,,
D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",,
D08,ANTISEPTICS AND DISINFECTANTS,,
D09,MEDICATED DRESSINGS,,
D10,ANTI-ACNE PREPARATIONS,,
D11,OTHER DERMATOLOGICAL PREPARATIONS,,
G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,,
G02,OTHER GYNECOLOGICALS,,
G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,,
G04,UROLOGICALS,,
H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,,
H02,CORTICOSTEROIDS FOR SYSTEMIC USE,,
H03,THYROID THERAPY,,
H04,PANCREATIC HORMONES,,
H05,CALCIUM HOMEOSTASIS,,
J01,ANTIBACTERIALS FOR SYSTEMIC USE,,
J02,ANTIMYCOTICS FOR SYSTEMIC USE,,
J04,ANTIMYCOBACTERIALS,,
J05,ANTIVIRALS FOR SYSTEMIC USE,,
J06,IMMUNE SERA AND IMMUNOGLOBULINS,,
J07,VACCINES,,
L01,ANTINEOPLASTIC AGENTS,,
L02,ENDOCRINE THERAPY,,
L03,IMMUNOSTIMULANTS,,
L04,IMMUNOSUPPRESSANTS,,
M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,,
M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,,
M03,MUSCLE RELAXANTS,,
M04,ANTIGOUT PREPARATIONS,,
M05,DRUGS FOR TREATMENT OF BONE DISEASES,,
M09,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,,
N01,ANESTHETICS,,
N02,ANALGESICS,,
N03,ANTIEPILEPTICS,,
N04,ANTI-PARKINSON DRUGS,,
N05,PSYCHOLEPTICS,,
N06,PSYCHOANALEPTICS,,
N07,OTHER NERVOUS SYSTEM DRUGS,,
P01,ANTIPROTOZOALS,,
P02,ANTHELMINTICS,,
P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",,
R01,NASAL PREPARATIONS,,
R02,THROAT PREPARATIONS,,
R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,,
R05,COUGH AND COLD PREPARATIONS,"kodein, efedrin",titck
R06,ANTIHISTAMINES FOR SYSTEMIC USE,,
R07,OTHER RESPIRATORY SYSTEM PRODUCTS,,
S01,OPHTHALMOLOGICALS,,
S02,OTOLOGICALS,,
S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,,
V01,ALLERGENS,,
V03,ALL OTHER THERAPEUTIC PRODUCTS,,
V04,DIAGNOSTIC AGENTS,,
V06,GENERAL NUTRIENTS,,
V07,ALL OTHER NON-THERAPEUTIC PRODUCTS,,
V08,CONTRAST MEDIA,,
V09,DIAGNOSTIC RADIOPHARMACEUTICALS,"germanyum klorür, galyum klorür",titck
V10,THERAPEUTIC RADIOPHARMACEUTICALS,,
V20,SURGICAL DRESSINGS,,
A01A,STOMATOLOGICAL PREPARATIONS,,
