code,description_tr,description_en,parent_code,is_billable
A00-B99,Belirli enfeksiyöz ve paraziter hastalıklar,,,false
A00-A09,Bağırsakların enfeksiyöz hastalıkları,,A00-B99,false
A00,Kolera,,A00-A09,false
A00.0,"Kolera, Vibrio cholerae 01 nedeniyle, biovar kolera","Cholera due to Vibrio cholerae 01, biovar cholerae",A00,true
A00.1,"Kolera, Vibrio cholerae 01 nedeniyle, biovar eltor","Cholera due to Vibrio cholerae 01, biovar eltor",A00,true
A00.9,"Kolera, tanımlanmamış","Cholera, unspecified",A00,true
A01,Tifo ve paratifo,,A00-A09,false
A01.0,Tifo,Typhoid fever,A01,true
A01.1,Paratifo A,Paratyphoid fever A,A01,true
A01.2,Paratifo B,Paratyphoid fever B,A01,true
A01.3,Paratifo C,Paratyphoid fever C,A01,true
A01.4,"Paratifo, tanımlanmamış","Paratyphoid fever, unspecified",A01,true
A02,Diğer salmonella enfeksiyonları,,A00-A09,false
A02.0,Salmonella enteriti,Salmonella enteritis,A02,true
A02.1,Salmonella septisemisi,Salmonella septicaemia,A02,true
A02.2,Lokalize salmonella enfeksiyonları,Localized salmonella infections,A02,true
A02.8,Diğer tanımlanmış salmonella enfeksiyonları,Other specified salmonella infections,A02,true
A02.9,Tanımlanmamış salmonella enfeksiyonu,"Salmonella infection, unspecified",A02,true
A03,Şigellozis,,A00-A09,false
A03.0,Shigella dysenteriae'ya bağlı şigellozis,Shigellosis due to Shigella dysenteriae,A03,true
A03.1,Shigella flexneri'ye bağlı şigellozis,Shigellosis due to Shigella flexneri,A03,true
A03.2,Shigella boydii'ye bağlı şigellozis,Shigellosis due to Shigella boydii,A03,true
A03.3,Shigella sonnei'ye bağlı şigellozis,Shigellosis due to Shigella sonnei,A03,true
A03.8,Diğer şigellozis,Other shigellosis,A03,true
A03.9,Tanımlanmamış şigellozis,"Shigellosis, unspecified",A03,true
A04,Diğer bakteriyel bağırsak enfeksiyonları,,A00-A09,false
A04.0,Enteropatojenik Escherichia coli enfeksiyonu,Enteropathogenic Escherichia coli infection,A04,true
A04.1,Enterotoksijenik Escherichia coli enfeksiyonu,Enterotoxigenic Escherichia coli infection,A04,true
A04.2,Enteroinvaziv Escherichia coli enfeksiyonu,Enteroinvasive Escherichia coli infection,A04,true
