code,long_name_en,long_name_tr,long_name_tr_source,component,unit_default,scale_typ
100000-9,Health informatics pioneer and the father of LOINC,,,Health informatics pioneer and the father of LOINC,,Nar
100001-7,Health informatics pioneer and cofounder of LOINC,,,Health informatics pioneer and cofounder of LOINC,,Nar
100002-5,Specimen care is maintained,,,Specimen care is maintained,,Ord
100003-3,Team communication is maintained throughout care,,,Team communication is maintained throughout care,,Ord
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,,,Demonstrates knowledge of the expected psychosocial responses to the procedure,,Ord
100005-8,Demonstrates knowledge of nutritional management related to the procedure,,,Demonstrates knowledge of nutritional management related to the procedure,,Ord
100006-6,Demonstrates knowledge of medication management,,,Demonstrates knowledge of medication management,,Ord
100007-4,Demonstrates knowledge of pain management,,,Demonstrates knowledge of pain management,,Ord
10000-8,R wave duration in lead AVR,,,R wave duration.lead AVR,s,Qn
100008-2,Demonstrates knowledge of wound management,,,Demonstrates knowledge of wound management,,Ord
100009-0,Demonstrates knowledge of the procedure and expected results,,,Demonstrates knowledge of the procedure and expected results,,Ord
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",,,"No injury related to procedure equipment, medical supplies, or instrumentation",,Ord
100011-6,No injury related to an electrical source,,,No injury related to an electrical source,,Ord
100012-4,Participates in decisions affecting the patient's plan of care,,,Participates in decisions affecting the patient's plan of care,,Ord
100013-2,Participates in the discharge process,,,Participates in the discharge process,,Ord
100014-0,Psychosocial health is maintained at or improved from baseline,,,Psychosocial health is maintained at or improved from baseline,,Ord
100015-7,No injury related to positioning due to care or procedure,,,No injury related to positioning due to care or procedure,,Ord
10001-6,R wave duration in lead I,,,R wave duration.lead I,s,Qn
100016-5,No injury related to a laser source,,,No injury related to a laser source,,Ord
100017-3,Perioperative nursing data set outcomes panel [PNDS],,,Perioperative nursing data set outcomes panel,,-
100018-1,Hospice care Note,,,Note,,Doc
100019-9,ALK gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,ALK geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,ALK gene targeted mutation analysis,,Nom
100020-7,GNA11 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,GNA11 geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,GNA11 gene targeted mutation analysis,,Nom
100021-5,GNAQ gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,GNAQ geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,GNAQ gene targeted mutation analysis,,Nom
100022-3,IDH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,IDH1 geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,IDH1 gene targeted mutation analysis,,Nom
100023-1,IDH2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,IDH2 geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,IDH2 gene targeted mutation analysis,,Nom
10002-4,R wave duration in lead II,,,R wave duration.lead II,s,Qn
100024-9,SETBP1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,SETBP1 geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,SETBP1 gene targeted mutation analysis,,Nom
100025-6,SRSF2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,SRSF2 geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,SRSF2 gene targeted mutation analysis,,Nom
