code,description_tr,description_en,retired_at
1,Genel muayene,General examination,
2,Pansuman,Wound dressing,
3,Sütur alınması,Suture removal,
4,Enjeksiyon,Injection,
5,Akli meleke raporu,Mental capacity report,
6,İlaç raporu,Medication report,
7,Alt bezi ve temizlik,Diaper and hygiene care,
8,Malzeme raporu,Medical supply report,
9,Havalı yatak raporu,Air mattress report,
10,Oksijen tüpü raporu,Oxygen cylinder report,
11,Diğer raporların yenilenmesi,Renewal of other reports,
12,Serum takılması,IV serum insertion,
13,Kan ve idrar tahlili yapılması,Blood and urine testing,
14,INR,INR testing,
15,Ağız diş muayenesi,Oral and dental examination,
99,Diğer,Other,
