sut_code,description_tr,category,retired_at
510010,Standart yatak tarifesi,other,
510070,Kuvöz,other,
510081,Kot (beşik),other,
510090,Yoğun bakım,other,
510100,Steril oda,other,
510110,İzole radyoaktif tedavi odası,other,
510120,Gündüz yatak tarifesi,other,
510121,Refakat,other,
520010,Konsültasyon (Her bir branş için),other,
520020,Acil poliklinik muayenesi,other,
520021,Yeşil alan muayenesi,other,
520030,Normal poliklinik muayenesi,other,
520032,Uzaktan hasta değerlendirmeye yönelik sağlık hizmetleri,other,
520050,Sağlık kurulu raporu,other,
520051,Uzman hekim raporu,other,
520052,Meslek hastalıklarının tespiti için hekim görüş raporu,other,
520070,Genel anestezi altında muayene,other,
520080,Birinci basamak poliklinik muayenesi,other,
520090,Birinci basamaktan sevk halinde poliklinik muayenesi,other,
530000,Acil serviste kritik hasta yatak ve takibi,therapeutic,
530001,"FAST Ultrasonografi, (çoklu travma hastasında)",therapeutic,
530002,Transkutan pacemaker uygulaması,therapeutic,
530003,Toksidromlarda spesifik antidot tedavi uygulaması,therapeutic,
530004,"Kimyasal, biyolojik, radyasyon ve nükleer yaralanmalarda hasta muayene ve dekontaminasyonu",therapeutic,
530015,Ketojenik diyet tedavisi,therapeutic,
530020,"Apse veya hematom drenajı, derin (Organ ve derin yumuşak doku)",therapeutic,
530030,"Apse veya hematom drenajı, yüzeyel (Deri ve subkütan dokular)",therapeutic,
530050,"Biyopsi, iğne",therapeutic,
530060,"Biyopsi, derin (Cerrahi)",therapeutic,
530070,"Biyopsi, yüzeyel (Deri veya derialtı)",therapeutic,
530080,Damar yolu açılması,therapeutic,
530085,İntraosseoz infüzyon uygulaması,therapeutic,
530090,Diyabetli hasta eğitimi,therapeutic,
530095,Diyabetik ayak korunma ve tedavi eğitimi,therapeutic,
530100,Elektrokardiyogram,therapeutic,
530110,Enteral hiperelimentasyon takibi,therapeutic,
530120,"Fototerapi, seans",therapeutic,
530130,Hastanın mekanik ventilatöre bağlanması,therapeutic,
530140,İntramusküler enjeksiyon,therapeutic,
530150,İntravenöz enjeksiyon,therapeutic,
530160,İntravenöz ilaç infüzyonu,therapeutic,
530161,Ekulizumab uygulaması,therapeutic,
530180,Kan veya kan bileşenleri transfüzyonu,therapeutic,
530190,Kesi onarımı,therapeutic,
530220,Kist ponksiyonu,therapeutic,
530230,Kist veya benign tümör çıkarılması,therapeutic,
530260,Lavman,therapeutic,
530270,Lenf bezi biyopsisi veya eksizyonu,therapeutic,
530280,Lenf bezi ponksiyonu veya aspirasyonu,therapeutic,
530290,Lokal anestezi,therapeutic,
530300,Lomber ponksiyon,therapeutic,
530310,Mesane sonda uygulaması,therapeutic,
530320,Mide yıkama,therapeutic,
530330,Monitörizasyon,therapeutic,
530340,Nazogastrik sonda uygulaması,therapeutic,
530350,Nebülizatör ile ilaç uygulaması,therapeutic,
530360,"Oksijen inhalasyon tedavisi, saatlik",therapeutic,
530365,Nitrik oksit tedavisi ve takibi,therapeutic,
530380,"Parasentez, tanısal",therapeutic,
530381,"Parasentez, terapötik",therapeutic,
530390,Subkütan enjeksiyon,therapeutic,
530410,Sütür alınması,therapeutic,
530420,"Torasentez, tanısal",therapeutic,
530421,"Torasentez, terapötik",therapeutic,
530430,"Total parenteral nütrisyon (TPN) takibi, 24 saat",therapeutic,
530470,Uyarı ve baskılama testleri,therapeutic,
530480,Vena seksiyonu (Cut-down),therapeutic,
530490,Ventilatör ile takip,therapeutic,
530500,"Yanık debritmanı, büyük",therapeutic,
530510,"Yanık debritmanı, küçük",therapeutic,
530520,"Yanık debritmanı, orta",therapeutic,
530530,"Yanık pansumanı, küçük",therapeutic,
530531,"Yanık pansumanı, orta",therapeutic,
530532,"Yanık pansumanı, büyük",therapeutic,
530533,Epidermolizis büllosa hastalığında yara bakım hizmetleri,therapeutic,
530560,Yara debritmanı,therapeutic,
530561,Dekübit yara debritmanı,therapeutic,
530580,Yara pansumanı,therapeutic,
530581,Dekübit yara pansumanı,therapeutic,
530585,İntradermal test,therapeutic,
530590,Arter kateterizasyonu,therapeutic,
530625,İntraarteriyel kanülasyon ve basınç ölçümü,therapeutic,
530650,İntravenöz port yerleştirilmesi,therapeutic,
530660,Kalıcı tünelli kateter çıkarılması,therapeutic,
530670,Kalıcı tünelli kateter yerleştirilmesi,therapeutic,
530680,Kateter pansumanı ve bakımı,therapeutic,
530690,Kateter revizyonu ve/veya değişimi,therapeutic,
530700,Non invaziv mekanik ventilatör uygulaması,therapeutic,
530710,Periton diyalizi için kalıcı kateter takılması,therapeutic,
530711,Periton diyalizi için kalıcı kateter çıkarılması,therapeutic,
530720,Periton diyalizi için kateter yerleştirme,therapeutic,
530730,Perkütan silastik kateterizasyon,therapeutic,
530740,"Santral ven kateterizasyonu, femoral ven (Perkütan)",therapeutic,
530750,"Santral ven kateterizasyonu, juguler veya subklavyen ven (Perkütan)",therapeutic,
530760,"Santral ven kateterizasyonu, periferik ven (Perkütan)",therapeutic,
530770,Subklavyen kateter takılması,therapeutic,
530780,Swan-Ganz kateter yerleştirilmesi,therapeutic,
530790,"Sağ kalp kateterizasyonu, pulmoner arter Wedge basınç ölçülmesi",therapeutic,
530800,"Endotrakeal entübasyon, yenidoğan",therapeutic,
530810,"Exchange transfüzyon, yenidoğan",therapeutic,
530820,Göbek arter kateterizasyonu,therapeutic,
530830,Göbek granülomu koterizasyonu,therapeutic,
530840,Göbek ven kateterizasyonu,therapeutic,
530860,"İntramusküler enjeksiyon, yenidoğan",therapeutic,
530870,"İntravenöz mayi takılması, yenidoğan",therapeutic,
530880,"İntravenöz enjeksiyon, yenidoğan",therapeutic,
530900,"Parsiyel exchange transfüzyon, yenidoğan",therapeutic,
530910,Subdural illüminasyon,therapeutic,
530920,"Surfaktan tedavisi uygulaması, yenidoğan",therapeutic,
530930,Transport küvözle hastane dışı nakil,therapeutic,
530940,Transport küvözle hastane içi nakil,therapeutic,
530960,Yenidoğan monitörizasyonu,therapeutic,
530970,Yenidoğan arteriyel tansiyon ölçümü,therapeutic,
530980,Yenidoğan/Çocuk TPN hazırlama ve uygulaması,therapeutic,
540010,Yenidoğan ek puanı A1 grubu,other,
540020,Yenidoğan ek puanı A2 grubu,other,
540030,Yenidoğan ek puanı A3 grubu,other,
540040,Yenidoğan ek puanı B grubu,other,
540050,Yenidoğan ek puanı C grubu,other,
540060,Yenidoğan ek puanı D grubu,other,
540070,Yenidoğan ek puanı E grubu,other,
550010,Anestezi öncesi muayene,therapeutic,
550020,Apne testi,therapeutic,
550030,"Endotrakeal entübasyon, ameliyathane dışı",therapeutic,
550040,Endotrakeal tüp ya da trakeotomi kanül değişimi,therapeutic,
550045,Çift lümenli tüp yerleştirilmesi,therapeutic,
550050,Hasta kontrollü analjezi (Epidural veya intravenöz vb.),therapeutic,
550060,İnvaziv yöntemle kardiyak debi ve indeks ölçümü,therapeutic,
550070,Kardiyopulmoner resüsitasyon,therapeutic,
550080,Laringeal maske uygulaması (LMA),therapeutic,
550090,"Muayene anestezisi, ameliyathane dışı",therapeutic,
550100,"Muayene anestezisi, ameliyathanede",therapeutic,
550110,"Nazal entübasyon, ameliyathane dışı",therapeutic,
550120,Noninvaziv yöntemle kardiyak debi ve indeks ölçümü,therapeutic,
550130,Anestezi A1 grubu,therapeutic,
550140,Anestezi A2 grubu,therapeutic,
550150,Anestezi A3 grubu,therapeutic,
550160,Anestezi B grubu,therapeutic,
550170,Anestezi C grubu,therapeutic,
550180,Anestezi D grubu,therapeutic,
550190,Anestezi E grubu,therapeutic,
550200,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 32561 ve üzeri,therapeutic,
550210,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 15401-32560,therapeutic,
550220,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 7584-15400,therapeutic,
550230,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 5001-7583,therapeutic,
550240,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 2501-5000,therapeutic,
550250,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 943-2500,therapeutic,
550260,Birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 0-942,therapeutic,
550270,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı A1 grubu,therapeutic,
550280,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı A2 grubu,therapeutic,
550290,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı A3 grubu,therapeutic,
550300,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı B grubu,therapeutic,
550310,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı C grubu,therapeutic,
550320,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı D grubu,therapeutic,
550330,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) anestezi puanı E grubu,therapeutic,
550339,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 32561 ve üzeri,therapeutic,
550341,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 15401-32560,therapeutic,
550342,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 7584-15400,therapeutic,
550343,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler.Toplam cerrahi puan 5001-7583,therapeutic,
550344,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler.Toplam cerrahi puan 2501-5000,therapeutic,
550345,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 943-2500,therapeutic,
550346,Yeni doğan/geriatrik (75 yaş üstü ve ASA 3-4) hastalara birden fazla ameliyatın veya ameliyathane dışı uygulamaların yapıldığı anesteziler. Toplam cerrahi puan 0-942,therapeutic,
550350,"Atlantoaksial ve atlantooksipital enjeksiyon, ağrı tedavisi",therapeutic,
550360,"Eklem içi enjeksiyon, ağrı tedavisi",therapeutic,
550370,"Faset eklem içi enjeksiyon, ağrı tedavisi",therapeutic,
550380,Proloterapi,therapeutic,
550390,"Sakroiliyak eklem enjeksiyonu, ağrı tedavisi",therapeutic,
550400,"Tetik nokta veya tendon kılıfı veya ligament enjeksiyonu, tek seans",therapeutic,
550410,Aksiller pleksus sinir bloğu,therapeutic,
550420,Diğer periferik alt ekstremite sinir blokları,therapeutic,
550430,Diğer periferik üst ekstremite sinir blokları,therapeutic,
550440,"Faset mediyan sinir bloğu, tek",therapeutic,
550450,Fasiyal sinirin sinir bloğu,therapeutic,
550460,"Femoral sinir bloğu, üçlü",therapeutic,
550470,Gasser gangliyon sinir bloğu,therapeutic,
550480,Glossofaringeal/vagus/frenik/aksesoryus sinir bloğu,therapeutic,
550490,Greater ve lesser oksipital sinir bloğu,therapeutic,
550500,"İlave periferik alt ekstremite sinir bloğu, her biri",therapeutic,
550510,"İlave periferik üst ekstremite sinir bloğu, her biri",therapeutic,
550520,İliyoinguinal/genitofemoral/iliyohipogastrik sinir bloğu,therapeutic,
550530,"İnterkostal sinir bloğu, tek seviye",therapeutic,
550540,"İnterkostal sinir bloğu, ilave her seviye",therapeutic,
550550,İnterskalen sinir bloğu,therapeutic,
550560,Laringeal sup/rek sinir bloğu,therapeutic,
550570,Lateral femoral kutanöz/obturator sinir bloğu,therapeutic,
550580,Maksiller/mandibüler sinir bloğu,therapeutic,
550590,"Paraservikal sinir bloğu, tek",therapeutic,
550600,Peroneal/tibiyal/sural sinir bloğu,therapeutic,
550610,Pudental sinir bloğu,therapeutic,
550620,Radial/ulnar/medial sinir bloğu,therapeutic,
550630,Sakral/koksigeal sinir bloğu,therapeutic,
550640,"Selektif sinir kökü bloğu, tek",therapeutic,
550650,Servikal/brakiyal pleksus sinir bloğu,therapeutic,
550660,Siyatik sinir bloğu,therapeutic,
550670,Supraorbital/intraorbital/troklear sinir bloğu,therapeutic,
