barcode,titck_product_code,trade_name,manufacturer,atc_code,active_substance_tr,dosage_form,strength_value,strength_unit,strength_text,package_size_text,rx_only,reimbursable,retired_at
8699508010752,55/44,"ONADRON 0.75 MG TABLET, 100 TABLET",MENARİNİ SAĞLIK VE İLAÇ SAN. TİC. A.Ş.,H02AB02,dekzametazon,tablet,0.75,mg,0.75 MG,100 TABLET,,false,
8699508010134,55/44,"ONADRON 0.75 MG TABLET, 20 TABLET",MENARİNİ SAĞLIK VE İLAÇ SAN. TİC. A.Ş.,H02AB02,dekzametazon,tablet,0.75,mg,0.75 MG,20 TABLET,,false,
8699606695219,2016/546,"% 0,4 LIDODEKS %5 DEKSTROZ İÇİNDE I.V. İNFÜZYON İÇİN ÇÖZELTİ, 250 ML SETLİ",POLİFARMA İLAÇ SAN. VE TİC. A.Ş.,C01BB01,lidokain hidroklorür,çözelti,0.4,%,"%0,4",250 ML SETLİ,,false,
8699606694786,2016/546,"% 0,4 LIDODEKS %5 DEKSTROZ İÇİNDE I.V. İNFÜZYON İÇİN ÇÖZELTİ, 250 ML SETSİZ",POLİFARMA İLAÇ SAN. VE TİC. A.Ş.,C01BB01,lidokain hidroklorür,çözelti,0.4,%,"%0,4",250 ML SETSİZ,,false,
8699606695226,2016/546,"% 0,4 LIDODEKS %5 DEKSTROZ İÇİNDE I.V. İNFÜZYON İÇİN ÇÖZELTİ, 500 ML SETLİ",POLİFARMA İLAÇ SAN. VE TİC. A.Ş.,C01BB01,lidokain hidroklorür,çözelti,0.4,%,"%0,4",500 ML SETLİ,,false,
8699606694793,2016/546,"% 0,4 LIDODEKS %5 DEKSTROZ İÇİNDE I.V. İNFÜZYON İÇİN ÇÖZELTİ, 500 ML SETSİZ",POLİFARMA İLAÇ SAN. VE TİC. A.Ş.,C01BB01,lidokain hidroklorür,çözelti,0.4,%,"%0,4",500 ML SETSİZ,,false,
8699606695233,2016/550,"% 0,8 LIDODEKS %5 DEKSTROZ İÇİNDE I.V. İNFÜZYON İÇİN ÇÖZELTİ, 250 ML SETLİ",POLİFARMA İLAÇ SAN. VE TİC. A.Ş.,C01BB01,lidokain hidroklorür,çözelti,0.8,%,"%0,8",250 ML SETLİ,,false,
8699606694809,2016/550,"% 0,8 LIDODEKS %5 DEKSTROZ İÇİNDE I.V. İNFÜZYON İÇİN ÇÖZELTİ, 250 ML SETSİZ",POLİFARMA İLAÇ SAN. VE TİC. A.Ş.,C01BB01,lidokain hidroklorür,çözelti,0.8,%,"%0,8",250 ML SETSİZ,,false,
8699828691198,2016/948,"% 1.5 GLISIN IRIGASYON ÇÖZELTİSİ, 3000 ML SETSİZ",KOÇAK FARMA İLAÇ VE KİMYA SAN. A.Ş.,B05CX03,glisin,çözelti,1.5,%,%1.5,3000 ML SETSİZ,true,true,
8699508690596,,% 10 DEKSTROZ SOLUSYONU 500 ML(SETLI),MENARİNİ SAĞLIK VE İLAÇ SAN. TİC. A.Ş.,B05BA03,karbonhidratlar,solüsyon,10,%,%10,,true,true,
